Idx,Name,Date of Birth,Year,Month,Day,Quarter,Club,Country,(Millions of Euros)
337,GaryMedel,03/08/1987,1987,8,3,3,CardiffCity,Chile,11
338,MameDiouf,16/12/1987,1987,12,16,4,Hannover96,Senegal,11
339,LacinaTraoré,20/05/1990,1990,5,20,2,EvertonFC,Coted'Ivoire,11
340,DavideAstori,07/01/1987,1987,1,7,1,CagliariCalcio,Italy,11
341,IshakBelfodil,12/01/1992,1992,1,12,1,ASLivorno,Algeria,11
342,YounèsBelhanda,25/02/1990,1990,2,25,1,DynamoKyiv,Morocco,11
343,VladChiriches,14/11/1989,1989,11,14,4,TottenhamHotspur,Romania,11
344,RossBarkley,05/12/1993,1993,12,5,4,EvertonFC,England,11
345,Fred,05/03/1993,1993,3,5,1,ShakhtarDonetsk,Brazil,11
346,MauricioIsla,12/06/1988,1988,6,12,2,JuventusFC,Chile,10.5
347,StefanSavic,08/01/1991,1991,1,8,1,ACFiorentina,Montenegro,10.5
348,RafaelvanderVaart,11/02/1983,1983,2,11,1,HamburgerSV,Netherlands,10
349,AndreaBarzagli,08/05/1981,1981,5,8,2,JuventusFC,Italy,10
350,Xavi,25/01/1980,1980,1,25,1,FCBarcelona,Spain,10
351,PepeReina,31/08/1982,1982,8,31,3,SSCNapoli,Spain,10
352,DavidVilla,03/12/1981,1981,12,3,4,AtléticodeMadrid,Spain,10
353,GoranPandev,27/07/1983,1983,7,27,3,SSCNapoli,Macedonia,10
354,RaulMeireles,17/03/1983,1983,3,17,1,FenerbahceSK,Portugal,10
355,DarijoSrna,01/05/1982,1982,5,1,2,ShakhtarDonetsk,Croatia,10
356,AleksandrSamedov,19/07/1984,1984,7,19,3,LokomotivMoscow,Russia,10
357,NemanjaVidic,21/10/1981,1981,10,21,4,ManchesterUnited,Serbia,10
358,VedadIbisevic,06/08/1984,1984,8,6,3,VfBStuttgart,Bosnia-Herzegovina,10
359,BafetimbiGomis,06/08/1985,1985,8,6,3,OlympiqueLyon,France,10
360,Gabi,10/07/1983,1983,7,10,3,AtléticodeMadrid,Spain,10
361,MathieuDebuchy,25/07/1985,1985,7,25,3,NewcastleUnited,France,10
362,CheikTioté,21/06/1986,1986,6,21,2,NewcastleUnited,Coted'Ivoire,10
363,AsmirBegovic,20/06/1987,1987,6,20,2,StokeCity,Bosnia-Herzegovina,10
364,PapissDembaCissé,03/06/1985,1985,6,3,2,NewcastleUnited,Senegal,10
365,DiegoLópez,03/11/1981,1981,11,3,4,RealMadrid,Spain,10
366,VedranCorluka,05/02/1986,1986,2,5,1,LokomotivMoscow,Croatia,10
367,MarcelSchmelzer,22/01/1988,1988,1,22,1,BorussiaDortmund,Germany,10
368,FelipeMelo,26/06/1983,1983,6,26,2,GalatasaraySK,Brazil,10
369,DusanTadic,20/11/1988,1988,11,20,4,FCTwenteEnschede,Serbia,10
370,MaxKruse,19/03/1988,1988,3,19,1,BorussiaMönchengladbach,Germany,10
371,PontusWernbloom,25/06/1986,1986,6,25,2,CSKAMoscow,Sweden,10
372,MarioSuárez,24/02/1987,1987,2,24,1,AtléticodeMadrid,Spain,10
373,SidneySam,31/01/1988,1988,1,31,1,Bayer04Leverkusen,Germany,10
374,YuraMovsisyan,02/08/1987,1987,8,2,3,SpartakMoscow,Armenia,10
375,TobyAlderweireld,02/03/1989,1989,3,2,1,AtléticodeMadrid,Belgium,10
376,StefanRadu,22/10/1986,1986,10,22,4,SSLazio,Romania,10
377,KevinGroßkreutz,19/07/1988,1988,7,19,3,BorussiaDortmund,Germany,10
378,DieumerciMbokani,22/11/1985,1985,11,22,4,DynamoKyiv,CongoDR,10
379,GiovanidosSantos,11/05/1989,1989,5,11,2,VillarrealCF,Mexico,10
380,SiemdeJong,28/01/1989,1989,1,28,1,AFCAjaxAmsterdam,Netherlands,10
381,JordanRhodes,05/02/1990,1990,2,5,1,BlackburnRovers,Scotland,10
382,MarkelSusaeta,14/12/1987,1987,12,14,4,AthleticClub,Spain,10
383,HolgerBadstuber,13/03/1989,1989,3,13,1,FCBayernMunich,Germany,10
384,DenisGlushakov,27/01/1987,1987,1,27,1,SpartakMoscow,Russia,10
385,CristianAnsaldi,20/09/1986,1986,9,20,3,ZenitSt.Petersburg,Argentina,10
386,DriesMertens,06/05/1987,1987,5,6,2,SSCNapoli,Belgium,10
387,DaniParejo,16/04/1989,1989,4,16,2,ValenciaCF,Spain,10
388,SenadLulic,18/01/1986,1986,1,18,1,SSLazio,Bosnia-Herzegovina,10
389,SeamusColeman,11/10/1988,1988,10,11,4,EvertonFC,Ireland,10
390,AnderIturraspe,08/03/1989,1989,3,8,1,AthleticClub,Spain,10
391,FredyMontero,26/07/1987,1987,7,26,3,SportingLisbon,Colombia,10
392,JuanIturbe,04/06/1993,1993,6,4,2,HellasVerona,Argentina,10
393,DavideSanton,02/01/1991,1991,1,2,1,NewcastleUnited,Italy,10
394,JosuhaGuilavogui,19/09/1990,1990,9,19,3,ASSaint-Étienne,France,10
395,AlexandreLacazette,28/05/1991,1991,5,28,2,OlympiqueLyon,France,10
396,MaximeLestienne,17/06/1992,1992,6,17,2,ClubBruggeKV,Belgium,10
397,Jorginho,20/12/1991,1991,12,20,4,SSCNapoli,Italy,10
398,ThorganHazard,29/03/1993,1993,3,29,1,SVZulte-Waregem,Belgium,10
399,Fernando,03/03/1992,1992,3,3,1,ShakhtarDonetsk,Brazil,10
400,GranitXhaka,27/09/1992,1992,9,27,3,BorussiaMönchengladbach,Switzerland,10
401,RémyCabella,08/03/1990,1990,3,8,1,HSCMontpellier,France,10
402,CarlosBacca,08/09/1986,1986,9,8,3,SevillaFC,Colombia,10
403,MatthiasGinter,19/01/1994,1994,1,19,1,SCFreiburg,Germany,10
404,LucasDigne,20/07/1993,1993,7,20,3,ParisSaint-Germain,France,10
405,Bruma,24/10/1994,1994,10,24,4,Gaziantepspor,Portugal,10
406,LazarMarkovic,02/03/1994,1994,3,2,1,SLBenfica,Serbia,10
407,SaphirTaider,29/02/1992,1992,2,29,1,InterMilan,Algeria,10
408,KurtZouma,27/10/1994,1994,10,27,4,ASSaint-Étienne,France,10
409,AymericLaporte,27/05/1994,1994,5,27,2,AthleticClub,France,10
410,DomenicoBerardi,01/08/1994,1994,8,1,3,USSassuolo,Italy,10
411,LucasOcampos,11/07/1994,1994,7,11,3,ASMonaco,Argentina,10
412,AlbertoMoreno,05/07/1992,1992,7,5,3,SevillaFC,Spain,10
413,JérémyToulalan,10/09/1983,1983,9,10,3,ASMonaco,France,9.5
414,Ron-RobertZieler,12/02/1989,1989,2,12,1,Hannover96,Germany,9.5
415,PatrickHerrmann,12/02/1991,1991,2,12,1,BorussiaMönchengladbach,Germany,9.5
416,AurélienChedjou,20/06/1985,1985,6,20,2,GalatasaraySK,Cameroon,9.5
417,ManoloGabbiadini,26/11/1991,1991,11,26,4,UCSampdoria,Italy,9.5
418,RenéAdler,15/01/1985,1985,1,15,1,HamburgerSV,Germany,9
419,SamuelEto'o,10/03/1981,1981,3,10,1,ChelseaFC,Cameroon,9
420,NigeldeJong,30/11/1984,1984,11,30,4,ACMilan,Netherlands,9
421,JérémyMathieu,29/10/1983,1983,10,29,4,ValenciaCF,France,9
422,AlbertoAquilani,07/07/1984,1984,7,7,3,ACFiorentina,Italy,9
423,OlcanAdin,30/09/1985,1985,9,30,3,Trabzonspor,Turkey,9
424,MathieuFlamini,07/03/1984,1984,3,7,1,ArsenalFC,France,9
425,GonzaloRodríguez,10/04/1984,1984,4,10,2,ACFiorentina,Argentina,9
426,AlejandroGómez,15/02/1988,1988,2,15,1,MetalistKharkiv,Argentina,9
427,JoséSosa,19/06/1985,1985,6,19,2,AtléticodeMadrid,Argentina,9
428,NicolasLombaerts,20/03/1985,1985,3,20,1,ZenitSt.Petersburg,Belgium,9
429,FabioQuagliarella,31/01/1983,1983,1,31,1,JuventusFC,Italy,9
430,YoanGouffran,25/05/1986,1986,5,25,2,NewcastleUnited,France,9
431,StéphaneMbia,20/05/1986,1986,5,20,2,SevillaFC,Cameroon,9
432,ChristopherSamba,28/03/1984,1984,3,28,1,DinamoMoscow,Congo,9
433,JonathandeGuzmán,13/09/1987,1987,9,13,3,SwanseaCity,Netherlands,9
434,TimKrul,03/04/1988,1988,4,3,2,NewcastleUnited,Netherlands,9
435,GökhanGönül,04/01/1985,1985,1,4,1,FenerbahceSK,Turkey,9
436,StevenFletcher,26/03/1987,1987,3,26,1,SunderlandAFC,Scotland,9
437,JeremainLens,24/11/1987,1987,11,24,4,DynamoKyiv,Netherlands,9
438,CanerErkin,04/10/1988,1988,10,4,4,FenerbahceSK,Turkey,9
439,StéphaneRuffier,27/09/1986,1986,9,27,3,ASSaint-Étienne,France,9
440,ViktorFaizulin,22/04/1986,1986,4,22,2,ZenitSt.Petersburg,Russia,9
441,AlessandroMatri,19/08/1984,1984,8,19,3,ACFiorentina,Italy,9
442,BeñatEtxebarria,19/02/1987,1987,2,19,1,AthleticClub,Spain,9
443,StefanReinartz,01/01/1989,1989,1,1,1,Bayer04Leverkusen,Germany,9
444,MiguelVeloso,11/05/1986,1986,5,11,2,DynamoKyiv,Portugal,9
445,André-PierreGignac,05/12/1985,1985,12,5,4,OlympiqueMarseille,France,9
446,MehmetTopal,03/03/1986,1986,3,3,1,FenerbahceSK,Turkey,9
447,SebastianRode,11/10/1990,1990,10,11,4,EintrachtFrankfurt,Germany,9
448,AndreaPoli,29/09/1989,1989,9,29,3,ACMilan,Italy,9
449,DameN'Doye,21/02/1985,1985,2,21,1,LokomotivMoscow,Senegal,9
450,ChristianNoboa,09/04/1985,1985,4,9,2,DinamoMoscow,Ecuador,9
451,RyanShawcross,04/10/1987,1987,10,4,4,StokeCity,England,9
452,Giuliano,31/05/1990,1990,5,31,2,DniproDnipropetrovsk,Brazil,9
453,LeandroCastán,05/11/1986,1986,11,5,4,ASRoma,Brazil,9
454,MartínCáceres,07/04/1987,1987,4,7,2,JuventusFC,Uruguay,9
455,MaxiPereira,08/06/1984,1984,6,8,2,SLBenfica,Uruguay,9
456,ÉtienneCapoue,11/07/1988,1988,7,11,3,TottenhamHotspur,France,9
457,Douglas,12/01/1988,1988,1,12,1,DinamoMoscow,Netherlands,9
458,EvgenKhacheridi,28/07/1987,1987,7,28,3,DynamoKyiv,Ukraine,9
459,ClémentGrenier,07/01/1991,1991,1,7,1,OlympiqueLyon,France,9
460,Maicon,14/09/1988,1988,9,14,3,FCPorto,Brazil,9
461,AlfredFinnbogason,01/02/1989,1989,2,1,1,SCHeerenveen,Iceland,9
462,PedroObiang,27/03/1992,1992,3,27,1,UCSampdoria,Spain,9
463,JuanQuintero,18/01/1993,1993,1,18,1,FCPorto,Colombia,9
464,CristianTello,11/08/1991,1991,8,11,3,FCBarcelona,Spain,9
465,MarcovanGinkel,01/12/1992,1992,12,1,4,ChelseaFC,Netherlands,9
466,MichaelCarrick,28/07/1981,1981,7,28,3,ManchesterUnited,England,8.5
467,ThiagoMotta,28/08/1982,1982,8,28,3,ParisSaint-Germain,Italy,8.5
468,SerdarTasci,24/04/1987,1987,4,24,2,SpartakMoscow,Germany,8.5
469,JonathanBiabiany,28/04/1988,1988,4,28,2,ParmaFC,France,8.5
470,PhilippWollscheid,06/03/1989,1989,3,6,1,Bayer04Leverkusen,Germany,8.5
471,MorganSchneiderlin,08/11/1989,1989,11,8,4,SouthamptonFC,France,8.5
472,SemihKaya,24/02/1991,1991,2,24,1,GalatasaraySK,Turkey,8.5
473,TomasHubocan,17/09/1985,1985,9,17,3,ZenitSt.Petersburg,Slovakia,8.5
474,LeroyFer,05/01/1990,1990,1,5,1,NorwichCity,Netherlands,8.5
475,EmanueleGiaccherini,05/05/1985,1985,5,5,2,SunderlandAFC,Italy,8.5
476,FabioBorini,29/03/1991,1991,3,29,1,SunderlandAFC,Italy,8.5
477,CiroImmobile,20/02/1990,1990,2,20,1,TorinoFC,Italy,8.5
478,FrancescoBardi,18/01/1992,1992,1,18,1,ASLivorno,Italy,8.5
479,LucianoVietto,05/12/1993,1993,12,5,4,RacingClubdeAvellaneda,Argentina,8.5
480,Kaká,22/04/1982,1982,4,22,2,ACMilan,Brazil,8
481,CristianLedesma,24/09/1982,1982,9,24,3,SSLazio,Italy,8
482,MikelArteta,26/03/1982,1982,3,26,1,ArsenalFC,Spain,8
483,SalomonKalou,05/08/1985,1985,8,5,3,OSCLille,Coted'Ivoire,8
484,EmmanuelAdebayor,26/02/1984,1984,2,26,1,TottenhamHotspur,Togo,8
485,MichaelDawson,18/11/1983,1983,11,18,4,TottenhamHotspur,England,8
486,XabiPrieto,29/08/1983,1983,8,29,3,RealSociedad,Spain,8
487,YuriZhirkov,20/08/1983,1983,8,20,3,DinamoMoscow,Russia,8
488,DusanBasta,18/08/1984,1984,8,18,3,UdineseCalcio,Serbia,8
489,Raffael,28/03/1985,1985,3,28,1,BorussiaMönchengladbach,Brazil,8
490,BenoîtCostil,03/07/1987,1987,7,3,3,StadeRennaisFC,France,8
491,YounèsKaboul,04/01/1986,1986,1,4,1,TottenhamHotspur,France,8
492,CleitonXavier,23/03/1983,1983,3,23,1,MetalistKharkiv,Brazil,8
493,GabrielPaletta,15/02/1986,1986,2,15,1,ParmaFC,Italy,8
494,LucaCigarini,20/06/1986,1986,6,20,2,AtalantaBC,Italy,8
495,Rafinha,07/09/1985,1985,9,7,3,FCBayernMunich,Brazil,8
496,BryanRuiz,18/08/1985,1985,8,18,3,PSVEindhoven,CostaRica,8
497,RomanNeustädter,18/02/1988,1988,2,18,1,FCSchalke04,Germany,8
498,YannSommer,17/12/1988,1988,12,17,4,FCBasel1893,Switzerland,8
499,GuilhermeSiqueira,28/04/1986,1986,4,28,2,SLBenfica,Brazil,8
500,Adrián,08/01/1988,1988,1,8,1,AtléticodeMadrid,Spain,8
501,PabloHernández,11/04/1985,1985,4,11,2,SwanseaCity,Spain,8
502,SebastianJung,22/06/1990,1990,6,22,2,EintrachtFrankfurt,Germany,8
503,AdilRami,27/12/1985,1985,12,27,4,ACMilan,France,8
504,MikelRico,01/11/1984,1984,11,1,4,AthleticClub,Spain,8
505,CarlosZambrano,10/07/1989,1989,7,10,3,EintrachtFrankfurt,Peru,8
506,Cristian,25/06/1983,1983,6,25,2,FenerbahceSK,Brazil,8
507,MarcoSau,03/11/1987,1987,11,3,4,CagliariCalcio,Italy,8
508,GiacomoBonaventura,22/08/1989,1989,8,22,3,AtalantaBC,Italy,8
509,MarkoDevic,27/10/1983,1983,10,27,4,RubinKazan,Ukraine,8
510,NacerChadli,02/08/1989,1989,8,2,3,TottenhamHotspur,Belgium,8
511,ÁlvaroDomínguez,15/05/1989,1989,5,15,2,BorussiaMönchengladbach,Spain,8
512,AshleyWilliams,23/08/1984,1984,8,23,3,SwanseaCity,Wales,8
513,MarvinMartin,10/01/1988,1988,1,10,1,OSCLille,France,8
514,JosipIlicic,29/01/1988,1988,1,29,1,ACFiorentina,Slovenia,8
515,Éder,22/12/1987,1987,12,22,4,SCBraga,Portugal,8
516,SergiRoberto,07/02/1992,1992,2,7,1,FCBarcelona,Spain,8
517,HiroshiKiyotake,12/11/1989,1989,11,12,4,1.FCNuremberg,Japan,8
518,GylfiSigurdsson,09/09/1989,1989,9,9,3,TottenhamHotspur,Iceland,8
519,ÓscardeMarcos,10/04/1989,1989,4,10,2,AthleticClub,Spain,8
520,WilliamCarvalho,07/04/1992,1992,4,7,2,SportingLisbon,Portugal,8
521,MattiaPerin,10/11/1992,1992,11,10,4,GenoaCFC,Italy,8
522,WellingtonNem,06/02/1992,1992,2,6,1,ShakhtarDonetsk,Brazil,8
523,AdamMaher,20/07/1993,1993,7,20,3,PSVEindhoven,Netherlands,8
524,OlaJohn,19/05/1992,1992,5,19,2,HamburgerSV,Netherlands,8
525,Allan,08/01/1991,1991,1,8,1,UdineseCalcio,Brazil,8
526,SamuelUmtiti,14/11/1993,1993,11,14,4,OlympiqueLyon,France,8
527,FabianSchär,20/12/1991,1991,12,20,4,FCBasel1893,Switzerland,8
528,WilfriedZaha,10/11/1992,1992,11,10,4,CardiffCity,England,8
529,MaxMeyer,18/09/1995,1995,9,18,3,FCSchalke04,Germany,8
530,ThomasInce,30/01/1992,1992,1,30,1,CrystalPalace,England,8
531,MichyBatshuayi,02/10/1993,1993,10,2,4,StandardLiège,Belgium,8
532,ÓliverTorres,10/11/1994,1994,11,10,4,VillarrealCF,Spain,8
533,HugoAlmeida,23/05/1984,1984,5,23,2,BesiktasJK,Portugal,7.75
534,StevenGerrard,30/05/1980,1980,5,30,2,LiverpoolFC,England,7.5
535,JohnTerry,07/12/1980,1980,12,7,4,ChelseaFC,England,7.5
536,PatriceEvra,15/05/1981,1981,5,15,2,ManchesterUnited,France,7.5
537,MichaelEssien,03/12/1982,1982,12,3,4,ACMilan,Ghana,7.5
538,AndreaPirlo,19/05/1979,1979,5,19,2,JuventusFC,Italy,7.5
539,PhilJagielka,17/08/1982,1982,8,17,3,EvertonFC,England,7.5
540,RioMavuba,08/03/1984,1984,3,8,1,OSCLille,France,7.5
541,Arouca,11/08/1986,1986,8,11,3,SantosFC,Brazil,7.5
542,LucasBiglia,30/01/1986,1986,1,30,1,SSLazio,Argentina,7.5
543,Fred,03/10/1983,1983,10,3,4,FluminenseFootballClub,Brazil,7.5
544,SilvestreVarela,02/02/1985,1985,2,2,1,FCPorto,Portugal,7.5
545,AdamJohnson,14/07/1987,1987,7,14,3,SunderlandAFC,England,7.5
546,AndreaConsigli,27/01/1987,1987,1,27,1,AtalantaBC,Italy,7.5
547,RickyvanWolfswinkel,27/01/1989,1989,1,27,1,NorwichCity,Netherlands,7.5
548,AdamLallana,10/05/1988,1988,5,10,2,SouthamptonFC,England,7.5
549,GregoryvanderWiel,03/02/1988,1988,2,3,1,ParisSaint-Germain,Netherlands,7.5
550,AleksandarMitrovic,16/09/1994,1994,9,16,3,RSCAnderlecht,Serbia,7.5
551,JayRodriguez,29/07/1989,1989,7,29,3,SouthamptonFC,England,7.5
552,KevinKampl,09/10/1990,1990,10,9,4,RedBullSalzburg,Slovenia,7.5
553,Jonathan,27/02/1986,1986,2,27,1,InterMilan,Brazil,7.5
554,LewisHoltby,18/09/1990,1990,9,18,3,FulhamFC,Germany,7.5
555,AdrienSilva,15/03/1989,1989,3,15,1,SportingLisbon,Portugal,7.5
556,MatíasSuárez,09/05/1988,1988,5,9,2,RSCAnderlecht,Argentina,7.5
557,Ganso,12/10/1989,1989,10,12,4,SãoPauloFutebolClube,Brazil,7.5
558,Marlos,07/06/1988,1988,6,7,2,MetalistKharkiv,Brazil,7.5
559,JonjoShelvey,27/02/1992,1992,2,27,1,SwanseaCity,England,7.5
560,LuukdeJong,27/08/1990,1990,8,27,3,NewcastleUnited,Netherlands,7.5
561,AdriánRamos,22/01/1986,1986,1,22,1,HerthaBSC,Colombia,7.5
562,SimeVrsaljko,10/01/1992,1992,1,10,1,GenoaCFC,Croatia,7.5
563,TinoCosta,09/01/1985,1985,1,9,1,SpartakMoscow,Argentina,7.5
564,FabiánRinaudo,08/05/1987,1987,5,8,2,CalcioCatania,Argentina,7.5
565,RomainAlessandrini,03/04/1989,1989,4,3,2,StadeRennaisFC,France,7.5
566,AlperPotuk,08/04/1991,1991,4,8,2,FenerbahceSK,Turkey,7.5
567,Dedé,01/07/1988,1988,7,1,3,CruzeiroEsporteClube,Brazil,7.5
568,EmreCan,12/01/1994,1994,1,12,1,Bayer04Leverkusen,Germany,7.5
569,StevenCaulker,29/12/1991,1991,12,29,4,CardiffCity,England,7.5
570,GastónRamírez,02/12/1990,1990,12,2,4,SouthamptonFC,Uruguay,7.5
571,Rafinha,12/02/1993,1993,2,12,1,CeltadeVigo,Brazil,7.5
572,SaúlÑíguez,21/11/1994,1994,11,21,4,RayoVallecano,Spain,7.5
573,FelipeAnderson,15/04/1993,1993,4,15,2,SSLazio,Brazil,7.5
574,RobertHuth,18/08/1984,1984,8,18,3,StokeCity,Germany,7
575,JoleonLescott,16/08/1982,1982,8,16,3,ManchesterCity,England,7
576,AleksandrKerzhakov,27/11/1982,1982,11,27,4,ZenitSt.Petersburg,Russia,7
577,MichelVorm,20/10/1983,1983,10,20,4,SwanseaCity,Netherlands,7
578,TomásSivok,15/09/1983,1983,9,15,3,BesiktasJK,CzechRepublic,7
579,Rolando,31/08/1985,1985,8,31,3,InterMilan,Portugal,7
580,KévinGameiro,09/05/1987,1987,5,9,2,SevillaFC,France,7
581,ClintDempsey,09/03/1983,1983,3,9,1,SeattleSoundersFC,UnitedStates,7
582,ÁlvaroArbeloa,17/01/1983,1983,1,17,1,RealMadrid,Spain,7
583,JoséManuelJurado,29/06/1986,1986,6,29,2,SpartakMoscow,Spain,7
584,Paulinho,10/01/1986,1986,1,10,1,ASLivorno,Brazil,7
585,MarkNoble,08/05/1987,1987,5,8,2,WestHamUnited,England,7
586,Danilo,10/05/1984,1984,5,10,2,UdineseCalcio,Brazil,7
587,StevenDefour,15/04/1988,1988,4,15,2,FCPorto,Belgium,7
588,StéphaneSessègnon,01/06/1984,1984,6,1,2,WestBromwichAlbion,Benin,7
589,ShaneLong,22/01/1987,1987,1,22,1,HullCity,Ireland,7
590,Eder,15/11/1986,1986,11,15,4,UCSampdoria,Brazil,7
591,ÁdámSzalai,09/12/1987,1987,12,9,4,FCSchalke04,Hungary,7
592,NicolaiMüller,25/09/1987,1987,9,25,3,1.FSVMainz05,Germany,7
593,IvanPerisic,02/02/1989,1989,2,2,1,VfLWolfsburg,Croatia,7
594,GaryHooper,26/01/1988,1988,1,26,1,NorwichCity,England,7
595,BrunoSoriano,12/06/1984,1984,6,12,2,VillarrealCF,Spain,7
596,BojanKrkic,28/08/1990,1990,8,28,3,AFCAjaxAmsterdam,Spain,7
597,ValentinStocker,12/04/1989,1989,4,12,2,FCBasel1893,Switzerland,7
598,LucaAntonelli,11/02/1987,1987,2,11,1,GenoaCFC,Italy,7
599,KevinTrapp,08/07/1990,1990,7,8,3,EintrachtFrankfurt,Germany,7
600,ZoranTosic,28/04/1987,1987,4,28,2,CSKAMoscow,Serbia,7
601,LarsStindl,26/08/1988,1988,8,26,3,Hannover96,Germany,7
602,GeorginioWijnaldum,11/11/1990,1990,11,11,4,PSVEindhoven,Netherlands,7
603,HéctorMoreno,17/01/1988,1988,1,17,1,RCDEspanyol,Mexico,7
604,OliverBaumann,02/06/1990,1990,6,2,2,SCFreiburg,Germany,7
605,Guilherme,12/12/1985,1985,12,12,4,LokomotivMoscow,Brazil,7
606,BasDost,31/05/1989,1989,5,31,2,VfLWolfsburg,Netherlands,7
607,MapouYanga-Mbiwa,15/05/1989,1989,5,15,2,NewcastleUnited,France,7
608,AleksandarDragovic,06/03/1991,1991,3,6,1,DynamoKyiv,Austria,7
609,AndrosTownsend,16/07/1991,1991,7,16,3,TottenhamHotspur,England,7
610,BrownIdeye,10/10/1988,1988,10,10,4,DynamoKyiv,Nigeria,7
611,OriolRomeu,24/09/1991,1991,9,24,3,ValenciaCF,Spain,7
612,CheikhouKouyaté,21/12/1989,1989,12,21,4,RSCAnderlecht,Senegal,7
613,RomanZozulya,17/11/1989,1989,11,17,4,DniproDnipropetrovsk,Ukraine,7
614,MohamedDiamé,14/06/1987,1987,6,14,2,WestHamUnited,Senegal,7
615,IagoAspas,01/08/1987,1987,8,1,3,LiverpoolFC,Spain,7
616,Pierre-MichelLasogga,15/12/1991,1991,12,15,4,HamburgerSV,Germany,7
617,Joãozinho,25/12/1988,1988,12,25,4,FKKrasnodar,Brazil,7
618,PabloArmero,02/11/1986,1986,11,2,4,WestHamUnited,Colombia,7
619,NathanielClyne,05/04/1991,1991,4,5,2,SouthamptonFC,England,7
620,AndréMartins,21/01/1990,1990,1,21,1,SportingLisbon,Portugal,7
621,VíctorIbarbo,19/05/1990,1990,5,19,2,CagliariCalcio,Colombia,7
622,FilipDjuricic,30/01/1992,1992,1,30,1,SLBenfica,Serbia,7
623,ViktorFischer,09/06/1994,1994,6,9,2,AFCAjaxAmsterdam,Denmark,7
624,JordyClasie,27/06/1991,1991,6,27,2,FeyenoordRotterdam,Netherlands,7
625,Jucilei,06/04/1988,1988,4,6,2,Al-Jazira(AbuDhabi),Brazil,7
626,HéctorHerrera,19/04/1990,1990,4,19,2,FCPorto,Mexico,7
627,LucaMarrone,28/03/1990,1990,3,28,1,USSassuolo,Italy,7
628,ArasÖzbiliz,09/03/1990,1990,3,9,1,SpartakMoscow,Armenia,7
629,HakanCalhanoglu,08/02/1994,1994,2,8,1,HamburgerSV,Turkey,7
630,AlexandruMaxim,08/07/1990,1990,7,8,3,VfBStuttgart,Romania,7
631,DennisPraet,14/05/1994,1994,5,14,2,RSCAnderlecht,Belgium,7
632,DiegoReyes,19/09/1992,1992,9,19,3,FCPorto,Mexico,7
633,JosipDrmic,08/08/1992,1992,8,8,3,1.FCNuremberg,Switzerland,7
634,LucasPiazón,20/01/1994,1994,1,20,1,VitesseArnhem,Brazil,7
635,WillHughes,07/04/1995,1995,4,7,2,DerbyCounty,England,7
636,Vitinho,09/10/1993,1993,10,9,4,CSKAMoscow,Brazil,7
637,YouriTielemans,07/05/1997,1997,5,7,2,RSCAnderlecht,Belgium,7
638,NiklasMoisander,29/09/1985,1985,9,29,3,AFCAjaxAmsterdam,Finland,6.5
639,FrancescoLodi,23/03/1984,1984,3,23,1,CalcioCatania,Italy,6.5
640,Robinho,25/01/1984,1984,1,25,1,ACMilan,Brazil,6.5
641,VladimirBystrov,31/01/1984,1984,1,31,1,AnzhiMakhachkala,Russia,6.5
642,AdrianMierzejewski,06/11/1986,1986,11,6,4,Trabzonspor,Poland,6.5
643,DennisAogo,14/01/1987,1987,1,14,1,FCSchalke04,Germany,6.5
644,PabloBarrientos,17/01/1985,1985,1,17,1,CalcioCatania,Argentina,6.5
645,AbdoulayKonko,09/03/1984,1984,3,9,1,SSLazio,France,6.5
646,NikicaJelavic,27/08/1985,1985,8,27,3,HullCity,Croatia,6.5
647,DiegoCapel,16/02/1988,1988,2,16,1,SportingLisbon,Spain,6.5
648,MichaelAgazzi,03/07/1984,1984,7,3,3,ChievoVerona,Italy,6.5
649,AndreasGranqvist,16/04/1985,1985,4,16,2,FKKrasnodar,Sweden,6.5
650,GrazianoPellè,15/07/1985,1985,7,15,3,FeyenoordRotterdam,Italy,6.5
651,MichaelBradley,31/07/1987,1987,7,31,3,TorontoFC,UnitedStates,6.5
652,Anderson,13/04/1988,1988,4,13,2,ACFiorentina,Brazil,6.5
653,GabrielAgbonlahor,13/10/1986,1986,10,13,4,AstonVilla,England,6.5
654,HavardNordtveit,21/06/1990,1990,6,21,2,BorussiaMönchengladbach,Norway,6.5
655,MiroslavStoch,19/10/1989,1989,10,19,4,PAOKThessaloniki,Slovakia,6.5
656,Chico,06/03/1987,1987,3,6,1,SwanseaCity,Spain,6.5
657,ÁlvaroPereira,28/11/1985,1985,11,28,4,SãoPauloFutebolClube,Uruguay,6.5
658,AleksandrBelenov,13/09/1986,1986,9,13,3,KubanKrasnodar,Russia,6.5
659,DenysGarmash,19/04/1990,1990,4,19,2,DynamoKyiv,Ukraine,6.5
660,DuvánZapata,01/04/1991,1991,4,1,2,SSCNapoli,Colombia,6.5
661,JurajKucka,26/02/1987,1987,2,26,1,GenoaCFC,Slovakia,6.5
662,Sung-YongKi,24/01/1989,1989,1,24,1,SunderlandAFC,"Korea,South",6.5
663,RiccardoSaponara,21/12/1991,1991,12,21,4,ACMilan,Italy,6.5
664,YoussefElArabi,03/02/1987,1987,2,3,1,GranadaCF,Morocco,6.5
665,RomainHamouma,29/03/1987,1987,3,29,1,ASSaint-Étienne,France,6.5
666,MassimoBruno,17/09/1993,1993,9,17,3,RSCAnderlecht,Belgium,6.5
667,RobertoPereyra,07/01/1991,1991,1,7,1,UdineseCalcio,Argentina,6.5
